"id","year","short_title","notes","url","theme_title","start_date","end_date","city","state_province_region","country","references","contributors","attendance","entry_status","program_available","abstracts_available","search_text","label"
"240","2010","Brunel University, London","","http://www.drha.uk/portfolio-of-drha-conferences/","Sensual Technologies: Collaborative Practices of Interdisciplinarity’","2010-09-12","2010-09-15","London","England","65","","Alexander Huber, Scott Weingart","","n","False","False","2010 Brunel University, London London Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2010 - Brunel University, London"
"241","2011","University of Nottingham, China","","http://web.archive.org/web/20110903075033/http://www.nottingham.ac.uk/drha/index.aspx","Connected Communities: global or local2local?","2011-09-04","2011-09-07","Ningbo","","22","","Alexander Huber, Scott Weingart","","n","False","False","2011 University of Nottingham, China Ningbo Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2011 - University of Nottingham, China"
"242","2013","University of Winchester","https://www.jiscmail.ac.uk/cgi-bin/webadmin?A2=ind1303&L=MEDIA-ARTS-AND-DANCE&O=D&P=1228","http://www.winchester.ac.uk/DHRA","Reconceptualising Digital Creativity; Re-mapping Behaviour, Engagement and the way we Archive in the 21st Century","2013-07-21","2013-07-23","Winchester","England","65","","Alexander Huber, Scott Weingart","","n","False","False","2013 University of Winchester Winchester Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2013 - University of Winchester"
"243","2014","University of Greenwich","","http://drha.uk/2014/","Communication Futures: Connecting interdisciplinary design practices in arts/culture, academia and the creative industries","2014-08-31","2014-09-03","London","England","65","http://drha.uk/2014/book-of-abstracts-drha2014-publication/","Alexander Huber, Scott Weingart","","n","True","False","2014 University of Greenwich London Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2014 - University of Greenwich"
"244","2015","Dublin City University","","http://web.archive.org/web/20150611124138/http://www.drha2015.ie/","Digital World. Digital Responses","2015-08-30","2015-09-02","Dublin","","16","https://issuu.com/christopherpressler/docs/abstracts","Alexander Huber, Scott Weingart","","n","False","False","2015 Dublin City University Dublin Institution object (179) Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2015 - Dublin City University"
"245","1997","St. Anne's College, Oxford","","http://web.archive.org/web/20010520025734/http://users.ox.ac.uk:80/~drh97/","","1997-09-14","1997-09-17","Oxford","England","65","The digital demotic : selected papers from DRH97, Digital Resources for the Humanities conference, St. Anne's College, Oxford, September 1997","Alexander Huber, Scott Weingart","","n","True","True","1997 St. Anne's College, Oxford Oxford Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","1997 - St. Anne's College, Oxford"
"246","2016","University of Brighton","http://arts.brighton.ac.uk/whats-on/sallis-benney-events/theatre-events-2026/sept-2016/drha16","http://web.archive.org/web/20161101015647/http://www.drha2016.com/","Place, Ecology and the Digital","2016-09-04","2016-09-07","Brighton","England","65","http://web.archive.org/web/20161003113319/http://www.drha2016.com/abstracts","Alexander Huber, Scott Weingart","","n","False","False","2016 University of Brighton Brighton Institution object (915) Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2016 - University of Brighton"
"247","2017","Arts Institute - University of Plymouth","","http://web.archive.org/web/20170624153258/http://drha2017.com/","Data Ache","2017-09-10","2017-09-13","Plymouth","","65","http://web.archive.org/web/20171120223028/http://drha2017.com/conference-information","Alexander Huber, Scott Weingart","","n","True","False","2017 Arts Institute - University of Plymouth Plymouth Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2017 - Arts Institute - University of Plymouth"
"248","2018","St James Cavalier Sazju Kreattiv","","https://web.archive.org/web/20180830200631/https://drha2018.org/","Creative Legacies: Collaborative Practices for Digital Cultural Heritage","2018-09-09","2018-09-12","Valletta","","76","","Alexander Huber, Scott Weingart","","n","False","False","2018 St James Cavalier Sazju Kreattiv Valletta Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2018 - St James Cavalier Sazju Kreattiv"
"249","2019","Watermans Art Centre, Royal Central School Speach & Drama","","http://www.2019.drha.uk/","Radical Immersions: Navigating between virtual/physical environments and information bubbles","2019-09-08","2019-09-10","London","England","65","","Alexander Huber, Scott Weingart","","n","True","True","2019 Watermans Art Centre, Royal Central School Speach & Drama London Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2019 - Watermans Art Centre, Royal Central School Speach & Drama"
"250","2020","University of Salford","","http://www.drha.uk/salford2020/","Situating Digital Curation: Locating Creative Practice and Research between Digital Humanities and the Arts","2020-09-06","2020-09-09","Manchester","England","65","","Alexander Huber, Scott Weingart","","n","False","False","2020 University of Salford Manchester Institution object (1072) Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2020 - University of Salford"
"251","1998","University of Glasgow","","http://web.archive.org/web/20010420083400/http://drh98.hatii.arts.gla.ac.uk/","Digital Content Digital Methods","1998-09-09","1998-09-12","Glasgow","Scotland","65","","Alexander Huber, Scott Weingart","","n","True","False","1998 University of Glasgow Glasgow Institution object (961) Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","1998 - University of Glasgow"
"252","1999","King's College, London","","http://web.archive.org/web/20011116234101fw_/http://www.kcl.ac.uk/humanities/cch/drh/index-drh99.htm","","1999-09-12","1999-09-15","London","England","65","","Alexander Huber, Scott Weingart","~265 (http://web.archive.org/web/20010718144610/http://pigeon.cc.kcl.ac.uk/cgi-bin/drhregr.pl?drh)","n","True","True","1999 King's College, London London Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","1999 - King's College, London"
"253","2000","University of Sheffield","","http://web.archive.org/web/20011115004539/http://www.shef.ac.uk/~drh2000/","","2000-09-10","2000-09-13","Sheffield","England","65","","Alexander Huber, Scott Weingart","","n","True","False","2000 University of Sheffield Sheffield Institution object (1077) Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2000 - University of Sheffield"
"254","2001","School of Oriental and African Studies, University of London","","http://web.archive.org/web/20010517061449/http://drh2001.soas.ac.uk/","","2001-07-08","2001-07-10","London","England","65","","Alexander Huber, Scott Weingart","","n","False","False","2001 School of Oriental and African Studies, University of London London Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2001 - School of Oriental and African Studies, University of London"
"255","2002","Edinburgh University Library","","http://web.archive.org/web/20070812133605/http://www.drh2002.lib.ed.ac.uk/index.html","","2002-09-08","2002-09-11","Edinburgh","Scotland","65","","Alexander Huber, Scott Weingart","","n","True","True","2002 Edinburgh University Library Edinburgh Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2002 - Edinburgh University Library"
"256","2003","University of Gloucestershire, School of Humanities","","http://web.archive.org/web/20161212215634/http://projects.oucs.ox.ac.uk/DRHA/2003/gloster.htm","","2003-08-31","2003-09-03","Gloucestershire","England","65","","Alexander Huber, Scott Weingart","","n","True","False","2003 University of Gloucestershire, School of Humanities Gloucestershire Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2003 - University of Gloucestershire, School of Humanities"
"257","2004","University of Newcastle","","http://projects.oucs.ox.ac.uk/DRHA/2004/index.html","","2004-09-05","2004-09-08","Newcastle","England","65","","Alexander Huber, Scott Weingart","","n","True","False","2004 University of Newcastle Newcastle University of Newcastle Digital Research in the Humanities and Arts DRHA Digital Research in the Humanities and Arts DRHA","2004 - University of Newcastle"
"258","1967","Pittsburgh","","","EDUCOM Symposium on the Computer and Humanistic Studies","1967-06-08","1967-06-10","Pittsburgh","Pennsylvania","64","https://www.jstor.org/stable/30203959?seq=1#page_scan_tab_contents","Scott Weingart","","n","False","False","1967 Pittsburgh Pittsburgh EDUCOM EDUCOM","1967 - Pittsburgh"
"259","2019","University of North Florida","","https://www.unf.edu/dhi/Inaugural_FLDH_Conference/","","2019-03-29","2019-03-30","Jacksonville","Florida","64","https://www.fldh.org/fldh2019/","Scott Weingart","","n","True","False","2019 University of North Florida Jacksonville University of North Florida Florida Digital Humanities FLDH Florida Digital Humanities FLDH","2019 - University of North Florida"
"260","2020","Flagler College","","https://www.fldh.org/fldhconference/","","","","St. Augustine","Florida","64","","Scott Weingart","","n","False","False","2020 Flagler College St. Augustine Florida Digital Humanities FLDH Florida Digital Humanities FLDH","2020 - Flagler College"
"261","2007","Duke University;RENCI","","https://www.hastac.org/information-year-2007/electronic-techtonics","Electronic Techtonics: Thinking at the Interface","2007-04-19","2007-04-21","Durham","North Carolina","64","","Scott Weingart","","n","True","True","2007 Duke University;RENCI Durham Institution object (180) Institution object (1846) Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC","2007 - Duke University;RENCI"
"262","2017","Orlando","","https://www.hastac.org/hastac-conferences/hastac-2017-possible-worlds-digital-humanities","The Possible Worlds of Digital Humanities","2017-11-03","2017-11-04","Orlando","Florida","64","http://web.archive.org/web/20171117230456/http://hastac2017.org/","Scott Weingart","","n","True","False","2017 Orlando Orlando Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC","2017 - Orlando"
"263","2019","University of British Columbia","","http://web.archive.org/web/20190719183703/http://hastac2019.org/","Decolonizing Technologies, Reprogramming Education","2019-05-16","2019-05-18","Vancouver","British Columbia","13","","Scott Weingart","","n","True","False","2019 University of British Columbia Vancouver Institution object (916) Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC","2019 - University of British Columbia"
"264","2008","University of California Humanities Research Institute;University of California, Irvine;University of California, Los Angeles","","https://www.hastac.org/hastac-conferences/hastac-ii-techno-travels-2008","Techno-Travels/Telemobility: HASTAC in Motion","2008-05-22","2008-05-24","","California","64","","Scott Weingart","","n","True","False","2008 University of California Humanities Research Institute;University of California, Irvine;University of California, Los Angeles  Institution object (922) Institution object (925) Institution object (926) Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC","2008 - University of California Humanities Research Institute;University of California, Irvine;University of California, Los Angeles"
"265","2009","University of Illinois, Urbana-Champagne","The conference program might be reconstructed from the conference reports, but it would be difficult.","https://www.hastac.org/hastac-conferences/hastac-2009-conference-buzz","Traversing Digital Boundaries","2009-04-19","2009-04-21","Urbana-Champagne","Illinois","64","","Scott Weingart","","n","False","False","2009 University of Illinois, Urbana-Champagne Urbana-Champagne Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC","2009 - University of Illinois, Urbana-Champagne"
"266","2010","University of Illinois, Chicago","","https://www.hastac.org/hastac-2010-grand-challenges-and-global-innovations","Grand Challenges and Global Innovation Conference","2010-04-15","2010-04-17","Chicago","Illinois","64","","Scott Weingart","","n","False","False","2010 University of Illinois, Chicago Chicago Institution object (1653) Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC","2010 - University of Illinois, Chicago"
"267","2011","University of Michigan","","https://www.hastac.org/blogs/ddholiya/2012/01/26/digital-scholarly-communication-conference-proceedings-hastac-2011","Digital Scholarly Communication","2011-12-01","2011-12-03","Ann Arbor","Michigan","64","","Scott Weingart","","n","True","True","2011 University of Michigan Ann Arbor Institution object (1014) Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC","2011 - University of Michigan"
"268","2013","York University","","https://www.hastac.org/hastac-conferences/hastac-2013-storm-progress-new-horizons-new-narratives-new-codes","The Storm of Progress: New Horizons, New Narratives, New Codes","2013-04-25","2013-04-28","Toronto","Ontario","13","","Scott Weingart","","n","True","False","2013 York University Toronto Institution object (1187) Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC","2013 - York University"
"269","2014","El Ministerio Cultura","","https://www.hastac.org/blogs/superadmin/2014/03/01/hastac-2014-hemispheric-pathways-critical-makers-international-networks","Hemispheric Pathways: Critical Makers in International Networks","2014-04-24","2014-04-27","Lima","","42","","Scott Weingart","","n","True","False","2014 El Ministerio Cultura Lima Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC","2014 - El Ministerio Cultura"
"270","2015","Michigan State University","","https://web.archive.org/web/20160208233641/http://www.hastac2015.org/","The Art and Science of Digital Humanities","2015-05-27","2015-05-30","East Lansing","Michigan","64","https://web.archive.org/web/20150503053510/http://hastac2015.sched.org/list/descriptions/","Kristen Mapes","","n","True","True","2015 Michigan State University East Lansing Institution object (459) Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC","2015 - Michigan State University"
"271","2016","Arizona State University","","https://www.hastac.org/opportunities/hastac-2016-impact-variation-innovation-action","Impact, Variation, Innovation, Action","2016-05-11","2016-05-15","Tempe","Arizona","64","","Scott Weingart","","n","True","False","2016 Arizona State University Tempe Institution object (32) Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC Humanities, Arts, Science and Technology Alliance and Collaboratory HASTAC","2016 - Arizona State University"
"272","2013","University of A Coruña","","http://web.archive.org/web/20150927223702/http://hdh2013.humanidadesdigitales.org/","Desafíos, logros y perspectivas de futuro","2013-07-09","2013-07-12","A Coruña","","21","","Scott Weingart","","n","False","False","2013 University of A Coruña A Coruña Humanidades Digitales Hispánicas (Hispanic Digital Humanities) Congress HDH Congress Humanidades Digitales Hispánicas (Hispanic Digital Humanities). Sociedad Internacional HDH","2013 - University of A Coruña"
"273","2015","National Distance Education University","","http://web.archive.org/web/20151027092107/http://hdh2015.linhd.es/","Innovación, globalización e impacto","2015-10-05","2015-10-07","Madrid","","21","https://web.archive.org/web/20150922134105/http://hdh2015.linhd.es:80/programa/","Scott Weingart","","n","True","False","2015 National Distance Education University Madrid Humanidades Digitales Hispánicas (Hispanic Digital Humanities) Congress HDH Congress Humanidades Digitales Hispánicas (Hispanic Digital Humanities). Sociedad Internacional HDH","2015 - National Distance Education University"
"274","2017","University of Malaga","","http://web.archive.org/web/20180223135019/http://hdh2017.es/","","2017-10-18","2017-10-20","Málaga","","21","","Scott Weingart","","n","True","False","2017 University of Malaga Málaga Humanidades Digitales Hispánicas (Hispanic Digital Humanities) Congress HDH Congress Humanidades Digitales Hispánicas (Hispanic Digital Humanities). Sociedad Internacional HDH","2017 - University of Malaga"
"275","2019","University of Castilla-La Mancha","","https://eventos.uclm.es/24964/detail/iv-congreso-internacional-de-la-asociacion-de-humanidades-digitales-hispanicas.html","","2019-10-23","2019-10-25","Toledo","","21","","Scott Weingart","137+","n","True","False","2019 University of Castilla-La Mancha Toledo Humanidades Digitales Hispánicas (Hispanic Digital Humanities) Congress HDH Congress Humanidades Digitales Hispánicas (Hispanic Digital Humanities). Sociedad Internacional HDH","2019 - University of Castilla-La Mancha"
"276","1965","Purdue University","","","Computers and Research in the Humanities","1965-10-29","1965-10-30","West Lafayette","Indiana","64","Computers in Humanistic Research. Readings and Perspectives (Bowles, 1967)
https://www.worldcat.org/title/computers-in-humanistic-research-readings-and-perspectives/oclc/469005444&referer=brief_results","Scott Weingart","","n","False","False","1965 Purdue University West Lafayette Institution object (612) IBM IBM","1965 - Purdue University"
"277","1964","Rutgers","","","Conference on the Use of Computers in Humanistic Research","1964-12-04","1964-12-04","New Brunswick","New Jersey","64","Computers in Humanistic Research. Readings and Perspectives (Bowles, 1967)
Conference on the Use of Computers in Humanistic Research. Rutgers University, New Brunswick, N.J., December 4, 1964.","Scott Weingart, Trip Kirkpatrick","","c","True","True","1964 Rutgers New Brunswick IBM IBM","1964 - Rutgers"
"278","1964","Yorktown Heights","Works here from published proceedings; there may have been other presentations which were not published.","","Literary Data Processing Conference","1964-09-09","1964-09-11","Yorktown Heights","New York","64","Proceedings edited by Bessinger, Parrish, and Arader (https://www.worldcat.org/title/literary-data-processing-conference-proceedings-september-9-10-11-1964/oclc/3974156)","Scott Weingart, Trip Kirkpatrick","","i","True","False","1964 Yorktown Heights Yorktown Heights IBM IBM","1964 - Yorktown Heights"
"279","1965","University of California Los Angeles","","","The Digital Computer as a Servant of Research in the Humanities and Arts","1965-04-15","1965-04-16","Los Angeles","California","64","Computers in Humanistic Research. Readings and Perspectives (Bowles, 1967)
https://www.worldcat.org/title/computers-in-humanistic-research-readings-and-perspectives/oclc/469005444&referer=brief_results","Scott Weingart","","n","False","False","1965 University of California Los Angeles Los Angeles IBM IBM","1965 - University of California Los Angeles"
"280","1965","Boston University","","","The Impact of the Computer on the Humanities and the Arts","1965-11-04","1965-11-05","Boston","Massachusetts","64","Computers in Humanistic Research. Readings and Perspectives (Bowles, 1967)
https://www.worldcat.org/title/computers-in-humanistic-research-readings-and-perspectives/oclc/469005444&referer=brief_results","Scott Weingart","","n","False","False","1965 Boston University Boston Institution object (75) IBM IBM","1965 - Boston University"
"281","1965","Yale","","","Computers for the Humanities?","1965-01-22","1965-01-23","New Haven","Connecticut","64","Computers in Humanistic Research. Readings and Perspectives (Bowles, 1967)
https://www.worldcat.org/title/computers-in-humanistic-research-readings-and-perspectives/oclc/469005444&referer=brief_results and 
https://www.worldcat.org/title/computers-for-the-humanities-a-record-of-the-conference-sponsored-by-yale-university-on-a-grant-from-ibm-january-22-23-1965/oclc/2084331","Scott Weingart","","n","True","True","1965 Yale New Haven IBM IBM","1965 - Yale"
"282","1965","Georgetown University","","","Humanistic Studies and the Computer","1965-10-21","1965-10-22","Washington, D.C.","","64","Computers in Humanistic Research. Readings and Perspectives (Bowles, 1967)
https://www.worldcat.org/title/computers-in-humanistic-research-readings-and-perspectives/oclc/469005444&referer=brief_results","Scott Weingart","","n","False","False","1965 Georgetown University Washington, D.C. Institution object (249) IBM IBM","1965 - Georgetown University"
"283","1968","The Metropolitan Museum of Art","","","Computers and their potential applications in museums","1968-04-15","1968-04-18","New York","New York","64","https://libmma.contentdm.oclc.org/digital/collection/p15324coll10/id/204737/","Matt Lincoln","27, via https://libmma.contentdm.oclc.org/digital/collection/p15324coll10/id/204735","i","True","True","1968 The Metropolitan Museum of Art New York Institution object (1843) IBM IBM","1968 - The Metropolitan Museum of Art"
"284","1969","White Plains","","","Symposium on Introducing the Computer into the Humanities Curriculum","1969-06-30","1969-07-02","White Plains","New York","64","","Scott Weingart","","n","False","False","1969 White Plains White Plains IBM IBM","1969 - White Plains"
"285","1979","Dartmouth College","","","Data Bases in the Humanities and Social Sciences","1979-08-23","1979-08-24","Hanover","New Hampshire","64","","Scott Weingart","","n","False","False","1979 Dartmouth College Hanover Institution object (148) International Conference on Databases in the Humanities and Social Sciences ICDBHSS International Conference on Databases in the Humanities and Social Sciences ICDBHSS","1979 - Dartmouth College"
"286","1980","Facultad Politecnico de Madrid","","","","1980-06-16","1980-06-19","Madrid","","21","","Scott Weingart","","n","False","False","1980 Facultad Politecnico de Madrid Madrid International Conference on Databases in the Humanities and Social Sciences ICDBHSS International Conference on Databases in the Humanities and Social Sciences ICDBHSS","1980 - Facultad Politecnico de Madrid"
"287","1981","University of Michigan","Mihram, D. (1984), ""Third International Conference on Databases in the Humanities and Social Sciences"", Reference Services Review, Vol. 12 No. 1, pp. 27-30","","","1981-05-20","1981-05-22","Ann Arbor","Michigan","64","","Scott Weingart","","n","False","False","1981 University of Michigan Ann Arbor Institution object (1014) International Conference on Databases in the Humanities and Social Sciences ICDBHSS International Conference on Databases in the Humanities and Social Sciences ICDBHSS","1981 - University of Michigan"
"288","1983","Rutgers","","","","1983-06-10","1983-06-12","New Brunswick","New Jersey","64","","Scott Weingart","","n","False","False","1983 Rutgers New Brunswick Institution object (642) International Conference on Databases in the Humanities and Social Sciences ICDBHSS International Conference on Databases in the Humanities and Social Sciences ICDBHSS","1983 - Rutgers"
"289","1985","Grinnell College","","","","1985-06-22","1985-06-24","Grinnell","Iowa","64","","Scott Weingart","","n","False","False","1985 Grinnell College Grinnell International Conference on Databases in the Humanities and Social Sciences ICDBHSS International Conference on Databases in the Humanities and Social Sciences ICDBHSS","1985 - Grinnell College"
"290","1987","Auburn University","","","","1987-07-11","1987-07-13","Montgomery","Alabama","64","Proceedings of the International Conference on Databases in the Humanities and Social Sciences, Montgomery, AL, July 11 - 13, 1987","Scott Weingart","","n","False","False","1987 Auburn University Montgomery International Conference on Databases in the Humanities and Social Sciences ICDBHSS International Conference on Databases in the Humanities and Social Sciences ICDBHSS","1987 - Auburn University"
"291","1988","Cologne","Three international associations combined forces for the occasion: the International Conference on databases in the Humanities and Social Sciences (ICDBHSS); the Association for History and Computing (AHC); and the International Federation of Data Organisations for the Social Sciences (IFDO). -http://users.ox.ac.uk/~lou/Reports/1988-09-07.html","","Cologne Computer Conference","1988-09-07","1988-09-10","Cologne","","4","Historical Social Research/Historische Sozialforschung (51/XIV, 1989 (3) Historical Social Research/Historische Sozialforschung (52/XIV, 1989 (4) Historical Social Research/Historische Sozialforschung (53/XV, 1990 (1) H.Best & M. Thaller (eds), Computers in the Humanities and the Social Sciences. Achievements of the 1980's; Prospects of the 1990's. Proceedings of the Cologne Computer Conference 1988. Uses of the Computer in the Humanities and Social Sciences held at the University of Cologne September 1988 ( Münich 1991)","Scott Weingart","500","n","False","False","1988 Cologne Cologne International Conference on Databases in the Humanities and Social Sciences ICDBHSS International Conference on Databases in the Humanities and Social Sciences ICDBHSS","1988 - Cologne"
"292","2000","Washington, D.C.","","http://web.archive.org/web/20000816025605/http://cecssrv1.cecs.missouri.edu/webwise/","","2000-03-15","2000-03-17","Washington, D.C.","","64","","Scott Weingart, Trevor Owens","","n","True","False","2000 Washington, D.C. Washington, D.C. WebWise WebWise Institute of Museum and Library Services IMLS","2000 - Washington, D.C."
"293","2009","Washington, D.C.","","http://web.archive.org/http://webwise2009.fcla.edu/","Digital Debates","2009-02-25","2009-02-27","Washington, D.C.","","64","","Scott Weingart","","n","True","False","2009 Washington, D.C. Washington, D.C. WebWise WebWise Institute of Museum and Library Services IMLS","2009 - Washington, D.C."
"294","2010","Denver","","http://web.archive.org/web/20101205043405/http://www.bcr.org/webwise2010/","Imagining the Digital Future","2010-03-03","2010-03-05","Denver","Colorado","64","","Scott Weingart","","n","True","True","2010 Denver Denver WebWise WebWise Institute of Museum and Library Services IMLS","2010 - Denver"
"295","2011","Baltimore","","http://web.archive.org/web/20160209193143/http://webwise2011.library.du.edu/","Libraries, Museums, and STEM (Science, Technology, Engineering and Math) in Research, Education, and Practice","2011-03-09","2011-03-11","Baltimore","Maryland","64","","Scott Weingart","","n","False","False","2011 Baltimore Baltimore WebWise WebWise Institute of Museum and Library Services IMLS","2011 - Baltimore"
"296","2012","Baltimore","","http://web.archive.org/web/20120521152216/http://www.imlswebwise.org/","Tradition and Innovation","2012-02-29","2012-03-02","Baltimore","Maryland","64","","Scott Weingart","","n","True","True","2012 Baltimore Baltimore WebWise WebWise Institute of Museum and Library Services IMLS","2012 - Baltimore"
"297","2013","Baltimore","Not really a conference, but worth keeping because it's part of the series.","http://web.archive.org/web/20130724164705/http://imlswebwise.org/","Putting the Learner at the Center","2013-03-06","2013-03-08","Baltimore","Maryland","64","","Scott Weingart","","n","True","True","2013 Baltimore Baltimore WebWise WebWise Institute of Museum and Library Services IMLS","2013 - Baltimore"
"298","2014","Baltimore","","http://web.archive.org/web/20140821144825/http://imlswebwise.org/","Ancoring Communites","2014-02-10","2014-02-12","Baltimore","Maryland","64","","Scott Weingart","","n","True","False","2014 Baltimore Baltimore WebWise WebWise Institute of Museum and Library Services IMLS","2014 - Baltimore"
"299","2001","Washington, D.C.","","http://web.archive.org/web/20010725054537/http://cecssrv1.cecs.missouri.edu/webwise/","","2001-02-12","2001-02-14","Washington, D.C.","","64","","Scott Weingart, Trevor Owens","","n","True","False","2001 Washington, D.C. Washington, D.C. WebWise WebWise Institute of Museum and Library Services IMLS","2001 - Washington, D.C."
"300","2002","Baltimore","","http://web.archive.org/web/20040701072901/http://www.imls.gov:80/pubs/webwise2002/webwisesched.pdf","","2002-03-20","2002-03-22","Baltimore","Maryland","64","","Scott Weingart, Trevor Owens","300+ https://pages.jh.edu/~gazette/2002/18mar02/18briefs.html","n","True","False","2002 Baltimore Baltimore WebWise WebWise Institute of Museum and Library Services IMLS","2002 - Baltimore"
"301","2003","Washington, D.C.","","http://web.archive.org/web/20090627023125/http://webwise.mse.jhu.edu/","Sustaining Digital Resources","2003-02-26","2003-02-28","Washington, D.C.","","64","","Scott Weingart, Trevor Owens","","n","True","False","2003 Washington, D.C. Washington, D.C. WebWise WebWise Institute of Museum and Library Services IMLS","2003 - Washington, D.C."
"302","2004","University of Illinois at Chicago","","http://web.archive.org/web/20080120014636/http://www.uic.edu/depts/lib/systems/webwise2004/","Sharing Digital Resources","2004-03-03","2004-03-05","Chicago","Illinois","64","","Scott Weingart, Trevor Owens","","n","True","False","2004 University of Illinois at Chicago Chicago WebWise WebWise Institute of Museum and Library Services IMLS","2004 - University of Illinois at Chicago"
"303","2005","Washington, D.C.","","http://web.archive.org/web/20051001054727/http://www.uic.edu/depts/lib/webwise/","Teaching and Learning with Digital Resources","2005-02-17","2005-02-18","Washington, D.C.","","64","","Scott Weingart","","n","True","False","2005 Washington, D.C. Washington, D.C. WebWise WebWise Institute of Museum and Library Services IMLS","2005 - Washington, D.C."
"304","2006","Los Angeles","","https://www.getty.edu/webwise2006/conference/","Inspiring Discovery, Unlocking Collections","2006-02-15","2006-02-17","Los Angeles","California","64","","Scott Weingart","","n","True","False","2006 Los Angeles Los Angeles WebWise WebWise Institute of Museum and Library Services IMLS","2006 - Los Angeles"
"305","2007","Los Angeles","","http://www.getty.edu/webwise2007/conference/","Stewardship in the Digital Age: Managing Museum and Library Collections for Preservation and Use","2007-03-01","2007-03-02","Los Angeles","California","64","","Scott Weingart","","n","True","False","2007 Los Angeles Los Angeles WebWise WebWise Institute of Museum and Library Services IMLS","2007 - Los Angeles"
"306","2008","Miami Beach","","http://web.archive.org/web/20110902053503/http://webwise2008.fcla.edu/","WebWise 2.0: The Power of Community","2008-03-05","2008-03-08","Miami Beach","Florida","64","","Scott Weingart","","n","True","False","2008 Miami Beach Miami Beach WebWise WebWise Institute of Museum and Library Services IMLS","2008 - Miami Beach"
"307","2015","University of Pennsylvania","","http://keystonedh.network/2015/","","2015-07-22","2015-07-24","Philadelphia","Pennsylvania","64","","Scott Weingart","","n","True","False","2015 University of Pennsylvania Philadelphia Institution object (1056) KeystoneDH KeystoneDH KeystoneDH KeystoneDH","2015 - University of Pennsylvania"
"308","2016","University of Pittsburgh","","http://keystonedh.network/2016/","","2016-06-22","2016-06-24","Pittsburgh","Pennsylvania","64","","Scott Weingart","","n","True","True","2016 University of Pittsburgh Pittsburgh Institution object (1058) KeystoneDH KeystoneDH KeystoneDH KeystoneDH","2016 - University of Pittsburgh"
"309","2017","The Chemical Heritage Foundation","","http://keystonedh.network/2017/","","2017-06-12","2017-06-14","Philadelphia","Pennsylvania","64","","Scott Weingart","","n","True","True","2017 The Chemical Heritage Foundation Philadelphia KeystoneDH KeystoneDH KeystoneDH KeystoneDH","2017 - The Chemical Heritage Foundation"
"310","2018","Pennsylvania State University","","http://keystonedh.network/2018/","","2018-06-16","2018-06-18","State College","Pennsylvania","64","","Scott Weingart","","n","True","False","2018 Pennsylvania State University State College Institution object (587) KeystoneDH KeystoneDH KeystoneDH KeystoneDH","2018 - Pennsylvania State University"
"311","2013","Detroit","","http://detroitdh.org/archive/2013_archive/","Digital Humanities Theory and Practice","2013-09-27","2013-09-27","Detroit","Michigan","64","","Scott Weingart","","n","True","False","2013 Detroit Detroit Network Detroit Network Detroit Network Detroit Network Detroit","2013 - Detroit"
